trial,time,cursor_x_pix,cursor_y_pix,gaze_x,gaze_y,cursor_x_cm,cursor_y_cm,target_x,target_y,state_marker
6,60.16617035865784,110.0,-383.0,1.41796875,-8.96326388888889,-16.4000244140625,-481.4000244140625,160.0494074581594,218.2596191783515,0
6,60.17326855659485,111.0,-380.0,1.4308593749999998,-8.893055555555556,-15.9000244140625,-478.699951171875,160.0494074581594,218.2596191783515,0
6,60.180238485336304,112.0,-377.0,1.4437499999999999,-8.822847222222222,-17.199951171875,-477.0,160.0494074581594,218.2596191783515,0
6,60.187227964401245,113.0,-373.0,1.456640625,-8.729236111111112,-17.800048828125,-479.5,160.0494074581594,218.2596191783515,0
6,60.19422698020935,114.0,-370.0,1.46953125,-8.659027777777778,-18.5999755859375,-478.9000244140625,160.0494074581594,218.2596191783515,0
6,60.20123243331909,115.0,-366.0,1.482421875,-8.565416666666668,-19.0,-478.699951171875,160.0494074581594,218.2596191783515,0
6,60.20823049545288,115.0,-363.0,1.482421875,-8.495208333333334,-18.5999755859375,-479.5999755859375,160.0494074581594,218.2596191783515,0
6,60.21520805358887,115.0,-361.0,1.482421875,-8.448402777777778,-19.5999755859375,-479.9000244140625,160.0494074581594,218.2596191783515,0
6,60.22230792045593,115.0,-360.0,1.482421875,-8.425,-20.9000244140625,-479.800048828125,160.0494074581594,218.2596191783515,0
6,60.22931718826294,115.0,-358.0,1.482421875,-8.378194444444444,-21.199951171875,-479.5,160.0494074581594,218.2596191783515,0
6,60.236326456069946,115.0,-358.0,1.482421875,-8.378194444444444,-22.5999755859375,-480.800048828125,160.0494074581594,218.2596191783515,0
6,60.242361307144165,115.0,-358.0,1.482421875,-8.378194444444444,-21.699951171875,-476.4000244140625,160.0494074581594,218.2596191783515,0
6,60.249826192855835,115.0,-358.0,1.482421875,-8.378194444444444,-21.4000244140625,-477.199951171875,160.0494074581594,218.2596191783515,0
6,60.25675106048584,115.0,-358.0,1.482421875,-8.378194444444444,-24.5,-475.0999755859375,160.0494074581594,218.2596191783515,0
6,60.263696908950806,115.0,-358.0,1.482421875,-8.378194444444444,-22.5999755859375,-475.5999755859375,160.0494074581594,218.2596191783515,0
6,60.270636558532715,115.0,-358.0,1.482421875,-8.378194444444444,-25.0999755859375,-475.4000244140625,160.0494074581594,218.2596191783515,0
6,60.27759003639221,115.0,-358.0,1.482421875,-8.378194444444444,-23.800048828125,-476.800048828125,160.0494074581594,218.2596191783515,0
6,60.28451323509216,115.0,-358.0,1.482421875,-8.378194444444444,-25.0999755859375,-478.0,160.0494074581594,218.2596191783515,0
6,60.29148316383362,115.0,-358.0,1.482421875,-8.378194444444444,-28.5999755859375,-479.0999755859375,160.0494074581594,218.2596191783515,0
6,60.29840302467346,115.0,-358.0,1.482421875,-8.378194444444444,-24.9000244140625,-474.5999755859375,160.0494074581594,218.2596191783515,0
6,60.305211305618286,114.0,-358.0,1.46953125,-8.378194444444444,-30.5999755859375,-478.0,160.0494074581594,218.2596191783515,0
6,60.312211751937866,111.0,-357.0,1.4308593749999998,-8.354791666666667,-29.5,-478.199951171875,160.0494074581594,218.2596191783515,0
6,60.319214820861816,107.0,-357.0,1.3792968749999999,-8.354791666666667,-29.5,-477.699951171875,160.0494074581594,218.2596191783515,0
6,60.326210260391235,103.0,-357.0,1.327734375,-8.354791666666667,-30.199951171875,-477.4000244140625,160.0494074581594,218.2596191783515,0
6,60.333224058151245,100.0,-357.0,1.2890625,-8.354791666666667,-9.0,-441.5999755859375,160.0494074581594,218.2596191783515,0
6,60.340303897857666,97.0,-358.0,1.2503906249999999,-8.378194444444444,-4.9000244140625,-388.800048828125,160.0494074581594,218.2596191783515,0
6,60.34720063209534,94.0,-358.0,1.21171875,-8.378194444444444,-5.0999755859375,-369.199951171875,160.0494074581594,218.2596191783515,0
6,60.354222774505615,92.0,-359.0,1.1859374999999999,-8.401597222222223,-9.199951171875,-369.0,160.0494074581594,218.2596191783515,0
6,60.3611798286438,91.0,-359.0,1.173046875,-8.401597222222223,-12.199951171875,-379.300048828125,160.0494074581594,218.2596191783515,0
6,60.36831307411194,91.0,-359.0,1.173046875,-8.401597222222223,-11.9000244140625,-378.800048828125,160.0494074581594,218.2596191783515,0
6,60.37431073188782,90.0,-359.0,1.16015625,-8.401597222222223,-9.4000244140625,-378.699951171875,160.0494074581594,218.2596191783515,0
6,60.38117218017578,89.0,-359.0,1.147265625,-8.401597222222223,-11.300048828125,-377.699951171875,160.0494074581594,218.2596191783515,0
6,60.38817524909973,89.0,-359.0,1.147265625,-8.401597222222223,-12.5999755859375,-378.699951171875,160.0494074581594,218.2596191783515,0
6,60.39530277252197,87.0,-359.0,1.1214843749999999,-8.401597222222223,-13.4000244140625,-378.9000244140625,160.0494074581594,218.2596191783515,0
6,60.402199506759644,85.0,-360.0,1.095703125,-8.425,-15.300048828125,-378.5999755859375,160.0494074581594,218.2596191783515,0
6,60.409205198287964,82.0,-360.0,1.0570312499999999,-8.425,-16.0999755859375,-376.699951171875,160.0494074581594,218.2596191783515,0
6,60.41620659828186,79.0,-361.0,1.018359375,-8.448402777777778,-17.0999755859375,-378.0999755859375,160.0494074581594,218.2596191783515,0
6,60.42320966720581,75.0,-362.0,0.966796875,-8.471805555555557,-18.5,-375.5999755859375,160.0494074581594,218.2596191783515,0
6,60.43014907836914,71.0,-364.0,0.9152343749999999,-8.518611111111111,-17.5999755859375,-375.4000244140625,160.0494074581594,218.2596191783515,0
6,60.43720078468323,67.0,-366.0,0.863671875,-8.565416666666668,-17.0999755859375,-374.0999755859375,160.0494074581594,218.2596191783515,0
6,60.44422483444214,64.0,-368.0,0.825,-8.612222222222222,-18.0,-375.5999755859375,160.0494074581594,218.2596191783515,0
6,60.45120811462402,60.0,-370.0,0.7734375,-8.659027777777778,-18.699951171875,-379.5,160.0494074581594,218.2596191783515,0
6,60.45820760726929,57.0,-373.0,0.734765625,-8.729236111111112,-18.0,-378.800048828125,160.0494074581594,218.2596191783515,0
6,60.46521019935608,53.0,-375.0,0.6832031249999999,-8.776041666666668,-19.9000244140625,-375.9000244140625,160.0494074581594,218.2596191783515,0
6,60.4722044467926,50.0,-377.0,0.64453125,-8.822847222222222,-18.9000244140625,-375.699951171875,160.0494074581594,218.2596191783515,0
6,60.479191064834595,47.0,-378.0,0.605859375,-8.846250000000001,-22.4000244140625,-378.5999755859375,160.0494074581594,218.2596191783515,0
6,60.48619985580444,45.0,-379.0,0.580078125,-8.869652777777778,-25.199951171875,-376.800048828125,160.0494074581594,218.2596191783515,0
6,60.49325752258301,43.0,-379.0,0.554296875,-8.869652777777778,-51.699951171875,-361.4000244140625,160.0494074581594,218.2596191783515,0
6,60.499324798583984,42.0,-379.0,0.54140625,-8.869652777777778,-64.9000244140625,-349.9000244140625,160.0494074581594,218.2596191783515,0
6,60.506186723709106,41.0,-379.0,0.5285156249999999,-8.869652777777778,-56.0,-352.699951171875,160.0494074581594,218.2596191783515,0
6,60.51331615447998,40.0,-379.0,0.515625,-8.869652777777778,-52.300048828125,-351.4000244140625,160.0494074581594,218.2596191783515,0
6,60.52020454406738,38.0,-379.0,0.48984374999999997,-8.869652777777778,-52.300048828125,-355.0,160.0494074581594,218.2596191783515,0
6,60.52719831466675,36.0,-379.0,0.4640625,-8.869652777777778,-56.5,-354.4000244140625,160.0494074581594,218.2596191783515,0
6,60.53419089317322,33.0,-378.0,0.42539062499999997,-8.846250000000001,-56.5,-355.699951171875,160.0494074581594,218.2596191783515,0
6,60.54119563102722,30.0,-378.0,0.38671875,-8.846250000000001,-56.9000244140625,-352.300048828125,160.0494074581594,218.2596191783515,0
6,60.54820704460144,26.0,-377.0,0.33515625,-8.822847222222222,-57.4000244140625,-352.800048828125,160.0494074581594,218.2596191783515,0
6,60.555198431015015,22.0,-377.0,0.28359375,-8.822847222222222,-58.699951171875,-354.699951171875,160.0494074581594,218.2596191783515,0
6,60.562206506729126,18.0,-376.0,0.23203125,-8.799444444444445,-57.300048828125,-353.5,160.0494074581594,218.2596191783515,0
