trial,time,cursor_x_pix,cursor_y_pix,cursor_x_cm,cursor_y_cm,gaze_x,gaze_y,target_x,target_y,state_marker,button_pressed,start_time,block
4,475.9364266395569,14.0,-363.0,0.326484375,-8.495208333333334,121.800048828125,-84.79998779296875,91.3468010483521,233.0057014382179,0,True,0.9613057054911088,2
4,475.94206142425537,14.0,-363.0,0.326484375,-8.495208333333334,118.699951171875,-79.0,91.3468010483521,233.0057014382179,0,True,0.9613057054911088,2
4,475.9489064216614,15.0,-363.0,0.3498046875,-8.495208333333334,120.300048828125,-82.0,91.3468010483521,233.0057014382179,0,True,0.9613057054911088,2
4,475.95600962638855,15.0,-363.0,0.3498046875,-8.495208333333334,122.800048828125,-83.0999755859375,91.3468010483521,233.0057014382179,0,True,0.9613057054911088,2
4,475.9630029201508,15.0,-363.0,0.3498046875,-8.495208333333334,124.0999755859375,-83.79998779296875,91.3468010483521,233.0057014382179,0,True,0.9613057054911088,2
4,475.9699637889862,15.0,-363.0,0.3498046875,-8.495208333333334,123.199951171875,-81.4000244140625,91.3468010483521,233.0057014382179,0,True,0.9613057054911088,2
4,475.9769065380096,16.0,-363.0,0.373125,-8.495208333333334,119.4000244140625,-84.9000244140625,91.3468010483521,233.0057014382179,0,True,0.9613057054911088,2
4,475.98393964767456,16.0,-363.0,0.373125,-8.495208333333334,116.0999755859375,-93.79998779296876,91.3468010483521,233.0057014382179,0,True,0.9613057054911088,2
4,475.9908378124237,16.0,-363.0,0.373125,-8.495208333333334,71.800048828125,-124.29998779296876,91.3468010483521,233.0057014382179,0,True,0.9613057054911088,2
4,475.9967570304871,17.0,-363.0,0.3964453125,-8.495208333333334,46.199951171875,-143.0999755859375,91.3468010483521,233.0057014382179,0,True,0.9613057054911088,2
4,476.0038187503815,17.0,-362.0,0.3964453125,-8.471805555555557,18.800048828125,-149.70001220703125,91.3468010483521,233.0057014382179,0,True,0.9613057054911088,2
4,476.0114917755127,17.0,-362.0,0.3964453125,-8.471805555555557,3.9000244140625,-158.0999755859375,91.3468010483521,233.0057014382179,0,True,0.9613057054911088,2
4,476.0178954601288,18.0,-362.0,0.419765625,-8.471805555555557,8.5,-158.79998779296875,91.3468010483521,233.0057014382179,0,True,0.9613057054911088,2
4,476.0249428749085,18.0,-361.0,0.419765625,-8.448402777777778,5.5999755859375,-154.70001220703125,91.3468010483521,233.0057014382179,0,True,0.9613057054911088,2
4,476.0324664115906,19.0,-361.0,0.4430859375,-8.448402777777778,4.199951171875,-161.70001220703125,91.3468010483521,233.0057014382179,0,True,0.9613057054911088,2
4,476.0389399528504,19.0,-360.0,0.4430859375,-8.425,5.300048828125,-159.4000244140625,91.3468010483521,233.0057014382179,0,True,0.9613057054911088,2
4,476.0459413528442,19.0,-360.0,0.4430859375,-8.425,6.300048828125,-160.9000244140625,91.3468010483521,233.0057014382179,0,True,0.9613057054911088,2
4,476.0529425144196,20.0,-359.0,0.46640625,-8.401597222222223,2.0,-164.20001220703125,91.3468010483521,233.0057014382179,0,True,0.9613057054911088,2
4,476.05993604660034,20.0,-359.0,0.46640625,-8.401597222222223,1.4000244140625,-163.5999755859375,91.3468010483521,233.0057014382179,0,True,0.9613057054911088,2
4,476.0669357776642,20.0,-359.0,0.46640625,-8.401597222222223,3.5999755859375,-164.79998779296875,91.3468010483521,233.0057014382179,0,True,0.9613057054911088,2
4,476.0739324092865,20.0,-358.0,0.46640625,-8.378194444444444,2.9000244140625,-165.0999755859375,91.3468010483521,233.0057014382179,0,True,0.9613057054911088,2
4,476.0809032917023,20.0,-358.0,0.46640625,-8.378194444444444,3.5999755859375,-162.9000244140625,91.3468010483521,233.0057014382179,0,True,0.9613057054911088,2
4,476.0879375934601,20.0,-358.0,0.46640625,-8.378194444444444,6.5,-169.0,91.3468010483521,233.0057014382179,0,True,0.9613057054911088,2
4,476.094940662384,20.0,-358.0,0.46640625,-8.378194444444444,4.699951171875,-168.20001220703125,91.3468010483521,233.0057014382179,0,True,0.9613057054911088,2
4,476.1018903255463,21.0,-357.0,0.4897265625000001,-8.354791666666667,12.300048828125,-192.4000244140625,91.3468010483521,233.0057014382179,0,True,0.9613057054911088,2
4,476.1089601516724,21.0,-357.0,0.4897265625000001,-8.354791666666667,55.699951171875,-262.70001220703125,91.3468010483521,233.0057014382179,0,True,0.9613057054911088,2
4,476.11599016189575,21.0,-357.0,0.4897265625000001,-8.354791666666667,62.5999755859375,-316.4000244140625,91.3468010483521,233.0057014382179,0,True,0.9613057054911088,2
4,476.1227774620056,21.0,-357.0,0.4897265625000001,-8.354791666666667,56.5999755859375,-314.0,91.3468010483521,233.0057014382179,0,True,0.9613057054911088,2
4,476.1299593448639,21.0,-357.0,0.4897265625000001,-8.354791666666667,48.9000244140625,-311.0999755859375,91.3468010483521,233.0057014382179,0,True,0.9613057054911088,2
4,476.13593888282776,20.0,-357.0,0.46640625,-8.354791666666667,52.0999755859375,-302.79998779296875,91.3468010483521,233.0057014382179,0,True,0.9613057054911088,2
4,476.14295053482056,20.0,-356.0,0.46640625,-8.33138888888889,50.4000244140625,-312.300048828125,91.3468010483521,233.0057014382179,0,True,0.9613057054911088,2
4,476.14993810653687,20.0,-356.0,0.46640625,-8.33138888888889,48.5,-313.0,91.3468010483521,233.0057014382179,0,True,0.9613057054911088,2
4,476.1569423675537,19.0,-356.0,0.4430859375,-8.33138888888889,43.5,-313.9000244140625,91.3468010483521,233.0057014382179,0,True,0.9613057054911088,2
4,476.1639351844788,19.0,-356.0,0.4430859375,-8.33138888888889,47.699951171875,-314.4000244140625,91.3468010483521,233.0057014382179,0,True,0.9613057054911088,2
4,476.17090249061584,18.0,-355.0,0.419765625,-8.307986111111111,48.0,-311.4000244140625,91.3468010483521,233.0057014382179,0,True,0.9613057054911088,2
4,476.17794394493103,18.0,-355.0,0.419765625,-8.307986111111111,47.5,-315.0999755859375,91.3468010483521,233.0057014382179,0,True,0.9613057054911088,2
4,476.1850826740265,17.0,-355.0,0.3964453125,-8.307986111111111,46.199951171875,-310.199951171875,91.3468010483521,233.0057014382179,0,True,0.9613057054911088,2
4,476.1919069290161,16.0,-354.0,0.373125,-8.284583333333334,43.800048828125,-316.699951171875,91.3468010483521,233.0057014382179,0,True,0.9613057054911088,2
4,476.1989440917969,16.0,-354.0,0.373125,-8.284583333333334,45.5999755859375,-314.699951171875,91.3468010483521,233.0057014382179,0,True,0.9613057054911088,2
4,476.2059791088104,15.0,-354.0,0.3498046875,-8.284583333333334,45.0999755859375,-314.199951171875,91.3468010483521,233.0057014382179,0,True,0.9613057054911088,2
4,476.2129535675049,14.0,-354.0,0.326484375,-8.284583333333334,47.300048828125,-319.0,91.3468010483521,233.0057014382179,0,True,0.9613057054911088,2
4,476.2199566364288,13.0,-354.0,0.3031640625,-8.284583333333334,47.699951171875,-312.5999755859375,91.3468010483521,233.0057014382179,0,True,0.9613057054911088,2
4,476.2269568443298,12.0,-354.0,0.27984375,-8.284583333333334,45.5,-314.0999755859375,91.3468010483521,233.0057014382179,0,True,0.9613057054911088,2
4,476.2339460849762,11.0,-354.0,0.2565234375,-8.284583333333334,50.5,-314.0999755859375,91.3468010483521,233.0057014382179,0,True,0.9613057054911088,2
4,476.24095463752747,11.0,-354.0,0.2565234375,-8.284583333333334,50.699951171875,-314.5999755859375,91.3468010483521,233.0057014382179,0,True,0.9613057054911088,2
4,476.24795484542847,10.0,-354.0,0.233203125,-8.284583333333334,42.4000244140625,-314.199951171875,91.3468010483521,233.0057014382179,0,True,0.9613057054911088,2
4,476.25491881370544,10.0,-354.0,0.233203125,-8.284583333333334,45.5,-319.300048828125,91.3468010483521,233.0057014382179,0,True,0.9613057054911088,2
4,476.2609050273895,9.0,-354.0,0.2098828125,-8.284583333333334,47.199951171875,-313.9000244140625,91.3468010483521,233.0057014382179,0,True,0.9613057054911088,2
4,476.2680220603943,9.0,-355.0,0.2098828125,-8.307986111111111,50.5999755859375,-314.9000244140625,91.3468010483521,233.0057014382179,0,True,0.9613057054911088,2
4,476.2754485607147,9.0,-355.0,0.2098828125,-8.307986111111111,43.5,-316.0999755859375,91.3468010483521,233.0057014382179,0,True,0.9613057054911088,2
4,476.2818374633789,8.0,-355.0,0.1865625,-8.307986111111111,47.699951171875,-318.300048828125,91.3468010483521,233.0057014382179,0,True,0.9613057054911088,2
4,476.2889039516449,8.0,-355.0,0.1865625,-8.307986111111111,46.0999755859375,-314.199951171875,91.3468010483521,233.0057014382179,0,True,0.9613057054911088,2
4,476.296261548996,8.0,-355.0,0.1865625,-8.307986111111111,42.800048828125,-319.5999755859375,91.3468010483521,233.0057014382179,0,True,0.9613057054911088,2
4,476.3028872013092,8.0,-356.0,0.1865625,-8.33138888888889,41.9000244140625,-314.699951171875,91.3468010483521,233.0057014382179,0,True,0.9613057054911088,2
4,476.3098838329315,8.0,-356.0,0.1865625,-8.33138888888889,48.800048828125,-313.5999755859375,91.3468010483521,233.0057014382179,0,True,0.9613057054911088,2
4,476.3168981075287,7.0,-357.0,0.1632421875,-8.354791666666667,43.800048828125,-318.300048828125,91.3468010483521,233.0057014382179,0,True,0.9613057054911088,2
4,476.3238837718964,7.0,-357.0,0.1632421875,-8.354791666666667,45.5,-316.300048828125,91.3468010483521,233.0057014382179,0,True,0.9613057054911088,2
4,476.3308944702149,7.0,-357.0,0.1632421875,-8.354791666666667,40.5,-319.5999755859375,91.3468010483521,233.0057014382179,0,True,0.9613057054911088,2
4,476.33787178993225,7.0,-358.0,0.1632421875,-8.378194444444444,44.9000244140625,-316.5,91.3468010483521,233.0057014382179,1,True,0.9613057054911088,2
4,476.34483647346497,6.0,-358.0,0.139921875,-8.378194444444444,47.5999755859375,-316.800048828125,91.3468010483521,233.0057014382179,1,True,0.9613057054911088,2
4,476.3518867492676,6.0,-359.0,0.139921875,-8.401597222222223,45.5999755859375,-316.0999755859375,91.3468010483521,233.0057014382179,1,True,0.9613057054911088,2
4,476.3588631153106,6.0,-359.0,0.139921875,-8.401597222222223,47.5999755859375,-320.0999755859375,91.3468010483521,233.0057014382179,1,True,0.9613057054911088,2
4,476.3656389713288,6.0,-360.0,0.139921875,-8.425,47.0,-321.699951171875,91.3468010483521,233.0057014382179,1,True,0.9613057054911088,2
4,476.37287497520447,6.0,-360.0,0.139921875,-8.425,48.5999755859375,-324.199951171875,91.3468010483521,233.0057014382179,1,True,0.9613057054911088,2
4,476.3798892498016,6.0,-360.0,0.139921875,-8.425,46.5999755859375,-322.699951171875,91.3468010483521,233.0057014382179,1,True,0.9613057054911088,2
4,476.3868844509125,6.0,-360.0,0.139921875,-8.425,47.9000244140625,-320.5999755859375,91.3468010483521,233.0057014382179,1,True,0.9613057054911088,2
4,476.39287757873535,6.0,-361.0,0.139921875,-8.448402777777778,46.300048828125,-322.300048828125,91.3468010483521,233.0057014382179,1,True,0.9613057054911088,2
4,476.399911403656,6.0,-361.0,0.139921875,-8.448402777777778,45.9000244140625,-325.0,91.3468010483521,233.0057014382179,1,True,0.9613057054911088,2
4,476.40699911117554,6.0,-361.0,0.139921875,-8.448402777777778,46.5999755859375,-328.5999755859375,91.3468010483521,233.0057014382179,1,True,0.9613057054911088,2
4,476.4139564037323,6.0,-361.0,0.139921875,-8.448402777777778,48.5999755859375,-325.699951171875,91.3468010483521,233.0057014382179,1,True,0.9613057054911088,2
4,476.42099118232727,6.0,-361.0,0.139921875,-8.448402777777778,45.0,-327.5,91.3468010483521,233.0057014382179,1,True,0.9613057054911088,2
4,476.42790627479553,6.0,-361.0,0.139921875,-8.448402777777778,45.300048828125,-328.300048828125,91.3468010483521,233.0057014382179,1,True,0.9613057054911088,2
4,476.4350411891937,6.0,-361.0,0.139921875,-8.448402777777778,52.5,-327.5,91.3468010483521,233.0057014382179,1,True,0.9613057054911088,2
4,476.44200229644775,6.0,-361.0,0.139921875,-8.448402777777778,52.800048828125,-326.5,91.3468010483521,233.0057014382179,1,True,0.9613057054911088,2
4,476.44901299476624,6.0,-361.0,0.139921875,-8.448402777777778,45.699951171875,-329.5,91.3468010483521,233.0057014382179,1,True,0.9613057054911088,2
4,476.45592069625854,6.0,-361.0,0.139921875,-8.448402777777778,43.4000244140625,-329.0,91.3468010483521,233.0057014382179,1,True,0.9613057054911088,2
4,476.46294832229614,6.0,-361.0,0.139921875,-8.448402777777778,44.0999755859375,-330.800048828125,91.3468010483521,233.0057014382179,1,True,0.9613057054911088,2
4,476.4699454307556,6.0,-361.0,0.139921875,-8.448402777777778,46.9000244140625,-329.0,91.3468010483521,233.0057014382179,1,True,0.9613057054911088,2
4,476.47694396972656,6.0,-361.0,0.139921875,-8.448402777777778,46.300048828125,-331.0999755859375,91.3468010483521,233.0057014382179,1,True,0.9613057054911088,2
4,476.48394298553467,6.0,-361.0,0.139921875,-8.448402777777778,48.0999755859375,-328.0,91.3468010483521,233.0057014382179,1,True,0.9613057054911088,2
4,476.4909408092499,6.0,-361.0,0.139921875,-8.448402777777778,46.699951171875,-330.9000244140625,91.3468010483521,233.0057014382179,1,True,0.9613057054911088,2
4,476.49794816970825,6.0,-361.0,0.139921875,-8.448402777777778,50.0999755859375,-330.5999755859375,91.3468010483521,233.0057014382179,1,True,0.9613057054911088,2
